vehiculo_marca,vehiculo_modelo,vehiculo_tipo,vehiculo_traccion,vehiculo_cilindrada,vehiculo_tipo_transmision,vehiculo_tipo_combustible,vehiculo_standard_emision,emision_CO2,consumo_urbano,consumo_extraurbano,consumo_mixto
TOYOTA,LAND CRUISER 200,SUV,4x4,4461.0,AUTOMATICA,GAS OIL,EURO V,260.7,11.56,8.94,9.9
RENAULT,FLUENCE 2.0 16V,4 Puertas,4x2,1997.0,CVT,NAFTA,EURO V,175.4,10.5,6.1,7.7
RENAULT,DUSTER 2.0 16v,5 Puertas,4x2,1998.0,MANUAL,NAFTA,EURO V,198.86,11.13,6.98,8.52
RENAULT,DUSTER 2.0 16v 4X4,5 Puertas,4x4,1998.0,MANUAL,NAFTA,EURO V,199.74,11.2,7.01,8.55
CITROËN,DS4,Coupe,4x2,1598.0,AUTOMATICA,NAFTA,EURO V,177.6,10.6,6.0,7.7
CITROËN,DS3,Coupe,4x2,1598.0,MANUAL,NAFTA,EURO V,140.8,8.2,4.7,6.0
LEXUS,GS450H,4 Puertas,4x2,3456.0,CVT,NAFTA / ELECTRICIDAD,EURO V,145.0,6.6,5.9,6.2
CITROËN,DS3,Coupe,4x2,1598.0,MANUAL,NAFTA,EURO V,141.2,8.0,4.9,6.0
PEUGEOT,208,5 Puertas,4x2,1587.0,MANUAL,NAFTA,EURO V,173.77,10.17,5.84,7.44
TOYOTA,RAV4,SUV,4x4,2494.0,AUTOMATICA,NAFTA,EURO V,197.7,11.4,6.9,8.5
FORD,FOCUS,5 Puertas,4x2,1596.0,MANUAL,NAFTA,EURO V,152.55,9.24,4.98,6.55
PEUGEOT / CITROËN,301 / C-ELYSÉE,4 Puertas,4x2,1587.0,MANUAL,NAFTA,EURO V,153.9,8.8,5.3,6.5
HYUNDAI,H-100,Camion,4x2,2497.0,MANUAL,GAS OIL,EURO V,256.0,12.4,8.2,9.7
HYUNDAI,GRAND i10,5 Puertas,4x2,1248.0,MANUAL,NAFTA,EURO V,136.64,7.46,4.97,5.89
HYUNDAI,GRAND i10,5 Puertas,4x2,1248.0,AUTOMATICA,NAFTA,EURO V,149.57,8.11,5.46,6.44
RENAULT,DUSTER OROCH 2.0 16v,PICK UP,4x2,1998.0,MANUAL,NAFTA,EURO V,181.53,10.4,6.23,7.78
HYUNDAI,H350,Furgon,4x2,2497.0,MANUAL,GAS OIL,EURO V,229.0,10.5,7.6,8.7
HYUNDAI,H350,Camion,4x2,2497.0,MANUAL,GAS OIL,EURO V,261.0,12.2,8.6,9.9
HYUNDAI,H350,Furgon,4x2,2497.0,MANUAL,GAS OIL,EURO V,246.0,11.4,8.1,9.4
HYUNDAI,H350,Camion,4x2,2497.0,MANUAL,GAS OIL,EURO V,261.0,12.2,8.6,9.9
SUZUKI,VITARA,5 Puertas,4x2,1586.0,MANUAL,NAFTA,EURO V,139.26,7.26,5.26,6.0
SUZUKI,VITARA,5 Puertas,4x2,1586.0,AUTOMATICA,NAFTA,EURO V,140.23,7.48,5.22,6.05
SUZUKI,VITARA,5 Puertas,4x4,1586.0,AUTOMATICA,NAFTA,EURO V,147.96,7.88,5.51,6.38
CHEVROLET,MONTANA 1.8,Furgon,4x2,1796.0,MANUAL,NAFTA,EURO V,198.87,11.35,6.68,8.4
LIFAN,X50,5 Puertas,4x2,1498.0,MANUAL,NAFTA,EURO V,183.0,10.1,6.3,7.7
LIFAN,X50,5 Puertas,4x2,1498.0,CVT,NAFTA,EURO V,187.0,10.2,6.5,7.8
TOYOTA,LAND CRUISER PRADO,4x4,4x4,3956.0,AUTOMATICA,NAFTA,EURO V,267.8,15.42,9.2,11.49
FORD,S-MAX,5 Puertas,4x2,1999.0,AUTOMATICA,NAFTA,EURO VI,204.0,12.5,6.9,8.9
BMW,118i,5 Puertas,4x2,1499.0,AUTOMATICA,NAFTA,EURO VI b,122.0,6.4,4.6,5.2
HYUNDAI,TUCSON,SUV,4x2,1999.0,MANUAL,NAFTA,EURO V,186.1,10.82,6.2,7.7
HYUNDAI,TUCSON,SUV,4x4,1999.0,MANUAL,NAFTA,EURO V,192.9,11.03,6.7,8.3
HYUNDAI,TUCSON,SUV,4x2,1999.0,AUTOMATICA,NAFTA,EURO V,188.98,11.26,6.31,8.1
HYUNDAI,TUCSON,SUV,4x4,1999.0,AUTOMATICA,NAFTA,EURO V,200.06,11.59,6.86,8.6
BMW,320i,4 Puertas,4x2,1998.0,AUTOMATICA,NAFTA,EURO VI b,134.0,7.6,4.7,5.8
HYUNDAI,TUCSON,SUV,4x2 - 4x4,1995.0,MANUAL,DIESEL,EURO V,146.0,6.9,4.8,5.6
HYUNDAI,TUCSON,SUV,4x2,1995.0,AUTOMATICA,DIESEL,EURO V,159.0,7.9,5.1,6.1
HYUNDAI,TUCSON,SUV,4x4,1995.0,AUTOMATICA,DIESEL,EURO V,169.0,8.2,5.4,6.4
HYUNDAI,CRETA (ix25),SUV,4x2,1591.0,MANUAL,NAFTA,EURO V,156.0,8.7,5.6,6.7
HYUNDAI,CRETA (ix25),SUV,4x2,1591.0,AUTOMATICA,NAFTA,EURO V,163.0,9.1,5.8,7.0
TOYOTA,PRIUS,5 Puertas,4x2,1798.0,CVT,NAFTA,EURO V,88.0,3.7,3.8,3.8
HYUNDAI,TUCSON,SUV,4x2 - 4x4,1591.0,AUTOMATICA,NAFTA,EURUO V,184.0,10.0,6.7,7.9
PEUGEOT,308,5 Puertas,4x2,1598.0,MANUAL,NAFTA,EURO VI b,144.0,8.1,4.9,6.0
LEXUS,GS350,4 Puertas,4x2,3456.0,AUTOMATICA,NAFTA,EURO V,224.0,13.4,7.4,9.6
CHEVROLET,TRACKER 1.8,5 Puertas,4x2,1796.0,MANUAL,NAFTA,EURO V,190.6,11.43,6.3,8.19
CHEVROLET,TRACKER 1.8,5 Puertas,4x4,1796.0,AUTOMATICA,NAFTA,EURO V,204.9,12.06,6.91,8.8
CITROËN / DS,DS 3,Coupe,4x2,1598.0,MANUAL,NAFTA,EURO VI b,129.4,6.9,4.6,5.4
PEUGEOT,208,5 Puertas,4x2,1560.0,MANUAL,GAS OIL,EURO V,99.9,4.6,3.5,3.9
HONDA,CIVIC,4 Puertas,4x2,1498.0,CVT,NAFTA,EURO V,143.0,8.2,4.9,6.1
HONDA,CIVIC,4 Puertas,4x2,1997.0,MANUAL,NAFTA,EURO V,169.0,9.9,5.5,7.0
HONDA,CIVIC,4 Puertas,4x2,1997.0,CVT,NAFTA,EURO V,158.39,9.09,5.46,6.8
CHEVROLET,COBALT 1.8 TRANSMISIÓN AUTOMÁTICA,4 Puertas,4x2,1796.0,AUTOMATICA,NAFTA,EURO V,186.39,11.54,5.86,7.91
CHEVROLET,COBALT 1.8,4 Puertas,4x2,1796.0,MANUAL,NAFTA,EURO V,174.66,10.53,5.6,7.42
NISSAN,MARCH,5 Puertas,4x2,1598.0,MANUAL,NAFTA,EURO V,151.0,8.6,5.3,6.5
NISSAN,MARCH,5 Puertas,4x2,1598.0,AUTOMATICA,NAFTA,EURO V,160.0,9.1,5.6,6.9
PEUGEOT / CITROËN,301 / C-ELYSÉE,4 Puertas,4x2,1587.0,MANUAL,NAFTA,EURO VI b,150.0,8.7,5.0,6.4
PEUGEOT / CITROËN,301 / C-ELYSÉE,4 Puertas,4x2,1587.0,AUTOMATICA,NAFTA,EURO VI b,157.8,9.2,5.3,6.8
PEUGEOT / CITROËN,301 / C-ELYSÉE,4 Puertas,4x2,1560.0,MANUAL,GAS OIL,EURO V,109.3,4.9,3.9,4.3
CHEVROLET,CAMARO 6.2,Coupe,4x2,6162.0,AUTOMATICA,NAFTA,EURO VI a,260.0,17.4,7.8,11.3
CHEVROLET,CAMARO 6.2,Coupe,4x2,6162.0,AUTOMATICA,NAFTA,EURO VI a,269.0,18.1,8.1,11.7
BMW,120i / 220i,Coupe,4x2,1998.0,AUTOMATICA,NAFTA,EURO VI b,135.0,7.4,5.0,5.9
BMW,220i,Coupe,4x2,1998.0,AUTOMATICA,NAFTA,EURO VI b,140.0,7.7,5.2,6.1
HONDA,WR-V,5 Puertas,4x2,1496.0,CVT,NAFTA,EURO V,154.0,8.2,5.7,6.6
BMW,M140i,Coupe,4x2,2998.0,AUTOMATICA,NAFTA,EURO VI b,163.0,9.4,5.8,7.1
BMW,M240i,Coupe,4x2,2998.0,AUTOMATICA,NAFTA,EURO VI b,163.0,9.4,5.8,7.1
CITROËN / DS,DS 4,5 Puertas,4x2,1598.0,MANUAL,NAFTA,EURO VI b,137.7,7.6,5.0,5.9
PEUGEOT,2008,5 Puertas,4x2,1587.0,AUTOMATICA,NAFTA,EURO V,176.54,9.96,6.18,7.57
PEUGEOT,208,5 Puertas,4x2,1587.0,AUTOMATICA,NAFTA,EURO V,173.72,10.04,5.92,7.44
CITROËN,C3 AIRCROSS,SUV,4x2,1587.0,AUTOMATICA,NAFTA,EURO V,183.12,10.39,6.34,7.86
FORD,ECOSPORT,SUV,4x2,1498.0,MANUAL,DIESEL,EURO V,120.1,4.84,4.43,4.58
FORD,ECOSPORT,SUV,4x2,1999.0,AUTOMATICA,NAFTA,EURO V,204.29,11.83,7.05,8.8
FORD,ECOSPORT,SUV,4x4,1999.0,AUTOMATICA,NAFTA,EURO V,200.43,11.65,6.93,8.65
FIAT,ARGO DRIVE 1.3,4 Puertas,4x2,1332.0,MANUAL,NAFTA,EURO V,148.42,8.13,5.32,6.36
FIAT,ARGO PRECISION 1.8,4 Puertas,4x2,1747.0,MANUAL,NAFTA,EURO V,169.73,10.02,5.68,7.27
FIAT,ARGO HGT 1.8,4 Puertas,4x2,1747.0,MANUAL,NAFTA,EURO V,169.73,10.02,5.68,7.27
LIFAN,MYWAY 1.8 VVT,5 Puertas,4x2,1794.0,MANUAL,NAFTA,EURO V,190.0,10.2,6.8,8.1
CHERY,TIGGO 5 1.5 MT,5 Puertas,4x2,1498.0,MANUAL,NAFTA,EURO V,186.0,9.9,6.7,7.9
PEUGEOT,5008,5 Puertas,4x2,1598.0,AUTOMATICA,NAFTA,EURO V,170.8,10.1,6.7,7.3
VOLKSWAGEN,UP! - UP! TSI,4 Puertas,4x2,999.0,MANUAL,NAFTA,EURO V,126.67,6.9,4.58,5.44
HONDA,CR-V,Rural,4x4,1498.0,CVT,NAFTA,EURO V,161.0,8.7,5.8,6.9
ALFA ROMEO,GIULIA,4 Puertas,4x2,1995.0,AUTOMATICA,NAFTA,EURO VI,199.7,12.94,6.12,8.65
ALFA ROMEO,GIULIA QUADRIFOGLIO,4 Puertas,4x2,2891.0,AUTOMATICA,NAFTA,EURO VI b,187.98,12.42,5.72,8.15
FIAT,CRONOS PRESICION 1.8 MT,4 Puertas,4x2,1747.0,MANUAL,NAFTA,EURO V,166.26,9.63,5.65,7.13
PEUGEOT / CITROËN,TRAVELLER / SPACETOURER,BUS,4x2,1997.0,AUTOMATICA,GAS OIL,EURO VI,165.1,7.3,5.8,6.4
TOYOTA,HILUX,PICK UP,4x2 - 4x4,2393.0,MANUAL,GAS OIL,EURO V,197.0,8.9,6.6,7.5
TOYOTA,HILUX,PICK UP,4x2 - 4x4,2755.0,MANUAL,GAS OIL,EURO  V,208.0,9.1,7.2,7.9
TOYOTA,HILUX,PICK UP,4x2 - 4x4,2755.0,AUTOMATICA,GAS OIL,EURO V,226.0,11.3,7.0,8.6
CHEVROLET,TRAILBLAZER 2.8 TRANSMISIÓN AUTOMÁTICA,SUV,4x2 - 4x4,2776.0,AUTOMATICA,GAS OIL,EURO V,257.19,12.6,8.16,9.78
TOYOTA,CAMRY,4 Puertas,4x2,2494.0,AUTOMATICA,NAFTA,EURO V,200.0,11.77,6.8,8.6
TOYOTA,CAMRY,4 Puertas,4x2,3456.0,AUTOMATICA,NAFTA,EURO V,206.0,13.0,6.7,9.0
TOYOTA,INNOVA,Rural,4x2,2694.0,AUTOMATICA,NAFTA,EURO V,241.0,13.4,8.6,10.4
PEUGEOT / CITROËN,PARTNER / BERLINGO,Rural,4x2,1587.0,MANUAL,NAFTA,EURO V,205.58,11.43,7.28,8.8
FIAT,ARGO PRECISION 1.8 AT6,4 Puertas,4x2,1747.0,AUTOMATICA,NAFTA,EURO V,183.78,10.96,6.09,7.89
FIAT,ARGO HGT 1.8 AT6,4 Puertas,4x2,1747.0,AUTOMATICA,NAFTA,EURO V,183.78,10.96,6.09,7.89
FIAT,STRADA WORKING 1.4 CC / CD,PICK UP,4x2,1368.0,MANUAL,NAFTA,EURO V,188.38,10.87,6.45,8.08
FIAT,CRONOS PRESICION 1.8 AT6,5 Puertas,4x2,1747.0,AUTOMATICA,NAFTA,EURO V,183.78,10.96,6.09,7.89
FIAT,CRONOS DRIVE 1.3,4 Puertas,4x2,1332.0,MANUAL,NAFTA,EURO V,147.65,8.1,5.29,6.33
FIAT,STRADA ADVENTURE 1.6 16V CABINA DOBLE,PICK UP,4x2,1598.0,MANUAL,NAFTA,EURO V,194.46,10.83,6.88,8.33
CHEVROLET,S10 2.8,PICK UP,4x2 - 4x4,2776.0,MANUAL,GAS OIL,EURO V,238.62,11.37,7.75,9.08
CHEVROLET,S10 2.8,PICK UP,4x2 - 4x4,2776.0,AUTOMATICA,GAS OIL,EURO V,250.93,12.35,7.92,9.53
ALFA ROMEO,GIULIA 2.0 VELOCE,4 Puertas,4x2 - 4x4,1995.0,AUTOMATICA,NAFTA,EURO VI b,149.14,9.04,5.0,6.47
FAW,ACTIS V80,BUS,4x2,1495.0,MANUAL,NAFTA,EURO V,163.0,8.5,6.1,7.0
CHEVROLET,SPIN ACTIV 1.8,4 Puertas,4x2,1796.0,MANUAL,NAFTA,EURO V,192.84,10.69,6.64,8.13
CHEVROLET,SPIN 1.8,4 Puertas,4x2,1796.0,MANUAL,NAFTA,EURO V,184.54,10.45,6.22,7.78
CHEVROLET,SPIN ACTIV 1.8 TRANSMISIÓN AUTOMÁTIA,4 Puertas,4x2,1796.0,AUTOMATICA,NAFTA,EURO V,189.24,10.91,6.55,8.16
CHEVROLET,SPIN 1.8 TRANSMISION AUTOMATICA,4 Puertas,4x2,1796.0,AUTOMATICA,NAFTA,EURO V,176.52,10.29,5.8,7.45
FAW,ACTIS T80,Camion,4x2,1495.0,MANUAL,NAFTA,EURO V,166.0,8.5,6.0,6.9
FAW,ACTIS T80,PICK UP,4x2,1495.0,MANUAL,NAFTA,EURO V,161.0,8.4,5.7,6.7
VOLKSWAGEN,GOLF o GOLF GTI,4 Puertas,4x2,1984.0,AUTOMATICA,NAFTA,EURO V,168.21,9.17,6.16,7.25
VOLKSWAGEN,TIGUAN o TIGUAN LWB,SUV,4x4,1984.0,AUTOMATICA,NAFTA,EURO V,195.43,10.92,6.99,8.42
LIFAN,FOISON: TRUCK-STAKE TRUK-BOX-CARGO FURGÓN,PICK UP,4x2,1206.0,MANUAL,NAFTA,EURO V,168.0,9.2,5.9,7.1
FORD,MUSTANG,Coupe,4x2,5038.0,AUTOMATICA,NAFTA,EURO VI b,290.13,19.29,8.96,12.73
HONDA,FIT,5 Puertas,4x2,1496.0,MANUAL,NAFTA,EURO V,142.92,7.86,5.12,6.13
HONDA,FIT,5 Puertas,4x2,1496.0,CVT,NAFTA,EURO V,137.51,7.28,5.08,5.9
BMW,X1 sDrive 20i,Rural,4x2,1998.0,AUTOMATICA,NAFTA,EURO VI c,139.0,7.4,5.3,6.1
BMW,X2 sDrive 20i,Rural,4x2,1998.0,AUTOMATICA,NAFTA,EURO VI c,138.0,7.4,5.3,6.0
LIFAN,X70,SUV,4x2,1998.0,MANUAL,NAFTA,EURO V,189.0,10.5,6.5,7.9
LIFAN,X70,SUV,4x2,1998.0,CVT,NAFTA,EURO V,207.0,11.7,6.9,8.7
TOYOTA,YARIS,4 Puertas,4x2,1496.0,MANUAL,NAFTA,EURO V,143.1,7.88,5.14,6.15
TOYOTA,YARIS,4 Puertas,4x2,1496.0,CVT,NAFTA,EURO V,136.2,7.19,5.07,5.85
ALFA ROMEO,STELVIO QUADRIFOGLIO VERDI,4 Puertas,4x4,2891.0,AUTOMATICA,NAFTA,EURO VI,210.21,11.76,7.56,9.09
BMW,X1 xDrive 25i,Rural,4x4,1998.0,AUTOMATICA,NAFTA,EURO VI c,151.0,8.0,5.9,6.6
PEUGEOT,308,5 Puertas,4x2,1598.0,AUTOMATICA,NAFTA,EURO V,153.0,8.8,5.2,6.5
HYUNDAI,IONIQ HYBRID LH BLUE DRIVE,5 Puertas,4x2,1580.0,AUTOMATICA,NAFTA / ELECTRICIDAD,EURO V,91.0,3.9,3.9,4.0
MERCEDES-BENZ,SLC 300,Coupe,4x2,1991.0,AUTOMATICA,NAFTA,EURO VI b,147.1,7.9,5.3,6.3
VOLKSWAGEN,AMAROK,PICK UP,4x2,1968.0,MANUAL,GAS OIL,EURO V,194.2,10.3,7.3,8.4
VOLKSWAGEN,AMAROK,PICK UP,4x4,1968.0,MANUAL,GAS OIL,EURO V,188.3,10.0,7.1,8.2
JEEP,COMPASS TRAILHAWK 2.0 AT9 4WD,4 Puertas,4x4,1956.0,AUTOMATICA,GAS OIL,EURO V,187.55,9.19,5.95,7.13
RENAULT,DUSTER OROCH 2.0 16v,PICK UP,4x4,1998.0,MANUAL,NAFTA,EURO V,190.84,11.14,6.43,8.17
LAND ROVER,DISCOVERY SPORT,Rural,4x4,1997.0,AUTOMATICA,NAFTA,EURO VI,182.0,9.6,7.1,8.0
CHEVROLET,EQUINOX,SUV,4x2,1490.0,AUTOMATICA,NAFTA,EURO V,177.3,9.87,6.39,7.67
CHEVROLET,EQUINOX,SUV,4x4,1490.0,AUTOMATICA,NAFTA,EURO V,187.9,10.62,6.67,8.11
HYUNDAI,VELOSTER,Coupe,4x2,1999.0,MANUAL,NAFTA,EURO V,166.0,9.6,5.6,7.1
HYUNDAI,VELOSTER,Coupe,4x2,1999.0,AUTOMATICA,NAFTA,EURO V,168.0,9.7,5.7,7.2
HYUNDAI,VELOSTER 1.6T,Coupe,4x2,1591.0,MANUAL,NAFTA,EURO V,175.0,10.2,5.9,7.5
HYUNDAI,VELOSTER 1.6T,Coupe,4x2,1591.0,AUTOMATICA,NAFTA,EURO V,157.0,8.8,5.5,6.7
FORD,KA,4 Puertas,4x2,1496.0,MANUAL,NAFTA,EURO V,134.16,7.04,5.04,5.77
