vehiculo_marca,vehiculo_modelo,vehiculo_tipo,vehiculo_traccion,vehiculo_cilindrada,vehiculo_tipo_transmision,vehiculo_tipo_combustible,vehiculo_standard_emision,emision_CO2,consumo_urbano,consumo_extraurbano,consumo_mixto
MERCEDES-BENZ,MERCEDES-AMG C 43 4 MATIC,Coupe,4x4,2996.0,AUTOMATICA,NAFTA,EURO VI b,217.0,13.3,7.3,9.5
MERCEDES-BENZ,MERCEDES-AMG C 43 4 MATIC,Rural,4x4,2996.0,AUTOMATICA,NAFTA,EURO VI b,222.0,13.5,7.6,9.7
FORD,ECOSPORT,SUV,4x2,1497.0,AUTOMATICA,NAFTA,EURO V,160.11,9.01,5.67,6.9
DONGFENG,AX4,5 Puertas,4x2,1556.0,MANUAL,NAFTA,EURO V,165.0,9.2,5.8,7.0
RENAULT,ALASKAN 2.3 160 HP 4x4 MT,PICK UP,4x4,2298.0,MANUAL,GAS OIL,EURO V,181.0,7.8,6.3,6.9
FORD,ECOSPORT,SUV,4x2,1497.0,MANUAL,NAFTA,EURO V,149.66,8.32,5.34,6.44
VOLKSWAGEN,VENTO,4 Puertas,4x2,1984.0,AUTOMATICA,NAFTA,EURO V,166.14,9.6,5.78,7.16
MERCEDES-BENZ,A 200,Rural,4x2,1332.0,AUTOMATICA,NAFTA,EURO VI,133.0,7.4,4.9,5.8
MERCEDES-BENZ,A 200,5 Puertas,4x2,1332.0,AUTOMATICA,NAFTA,EURO VI,132.0,7.4,4.8,5.8
RENAULT,ALASKAN 2.3 160 HP 4x2 MT,PICK UP,4x2,2298.0,MANUAL,GAS OIL,EURO V,177.0,7.8,6.1,6.7
FORD,RANGER RAPTOR,PICK UP,4x2 - 4x4,1996.0,AUTOMATICA,GAS OIL,EURO V,217.0,9.4,7.6,8.3
MERCEDES-BENZ,E 450 4MATIC,Coupe,4x4,2996.0,AUTOMATICA,NAFTA,EURO VI,208.0,12.5,7.3,9.1
PEUGEOT,308,5 Puertas,4x2,1598.0,MANUAL,NAFTA,EURO VI,168.63,10.44,6.38,7.47
SUZUKI,JIMNY,Rural,4x2 - 4x4,1462.0,AUTOMATICA,NAFTA,EURO V,158.0,8.2,6.1,6.9
TOYOTA,RAV4,SUV,4x4,2487.0,AUTOMATICA,NAFTA,EURO V,168.2,9.45,6.2,7.4
HYUNDAI,TUCSON,Rural,4x2 - 4x4,1995.0,AUTOMATICA,GAS OIL,EURO V,168.27,8.12,5.39,6.39
SUZUKI,JIMNY,Rural,4x2 - 4x4,1462.0,MANUAL,NAFTA,EURO V,146.0,7.7,5.7,6.4
TOYOTA,RAV4,SUV,4x2,2487.0,CVT,NAFTA / ELECTRICIDAD,EURO V,106.0,4.9,4.8,4.7
TOYOTA,RAV4,SUV,4x4,2487.0,CVT,NAFTA / ELECTRICIDAD,EURO V,109.75,5.11,4.85,4.83
MERCEDES-BENZ,MERCEDES-AMG C63,4 Puertas,4x2,3982.0,AUTOMATICA,NAFTA,EURO VI b,232.0,14.0,7.9,10.2
MERCEDES-BENZ,MERCEDES-AMG C63 S,4 Puertas,4x2,3982.0,AUTOMATICA,NAFTA,EURO VI b,237.0,14.2,8.1,10.4
NISSAN,SENTRA,4 Puertas,4x2,1798.0,CVT,NAFTA,EURO V,159.0,9.3,5.4,6.9
FORD,TRANSIT,Furgon,4x2,2198.0,MANUAL,GAS OIL,EURO VI,208.36,8.8,7.0,7.7
RENAULT,MEGANE 1.2 16V,5 Puertas,4x2,1197.0,AUTOMATICA,NAFTA,EURO VI b,140.0,7.7,5.0,6.0
MERCEDES-BENZ,C 400 4MATIC,4 Puertas,4x4,2996.0,AUTOMATICA,NAFTA,EURO VI b,188.0,11.6,6.3,8.3
MERCEDES-BENZ,C 400 4MATIC,Coupe,4x4,2996.0,AUTOMATICA,NAFTA,EURO VI b,198.0,12.1,6.8,8.8
BMW,330i,4 Puertas,4x2,1998.0,AUTOMATICA,NAFTA,EURO VI c,147.0,7.9,5.6,6.4
MERCEDES-BENZ,E 450 4MATIC,4 Puertas,4x4,2996.0,AUTOMATICA,NAFTA,EURO VI b,204.0,12.4,7.1,9.0
TOYOTA,PRIUS,5 Puertas,4x2,1798.0,CVT,NAFTA,EURO V,88.0,3.7,3.8,3.8
HAVAL,H6,Rural,4x2,1499.0,AUTOMATICA,NAFTA,EURO V,178.0,9.6,6.7,7.7
LEXUS,IS300,4 Puertas,4x2,1998.0,AUTOMATICA,NAFTA,EURO V,189.0,11.4,6.3,8.2
TOYOTA,RAV4,SUV,4x2,1987.0,CVT,NAFTA,EURO V,148.6,7.78,5.79,6.5
MERCEDES-BENZ,B 200,Rural,4x2,1332.0,AUTOMATICA,NAFTA,EURO VI b,134.0,7.4,4.9,5.9
MERCEDES-BENZ,C 200,4 Puertas,4x2,1991.0,AUTOMATICA,NAFTA,EURO VI b,163.0,9.8,5.6,7.2
MERCEDES-BENZ,C 300,4 Puertas,4x2,1991.0,AUTOMATICA,NAFTA,EURO VI b,163.0,9.8,5.6,7.2
MERCEDES-BENZ,C 300,Coupe,4x2,1991.0,AUTOMATICA,NAFTA,EURO VI b,168.0,10.1,5.8,7.4
MERCEDES-BENZ,C 300,Coupe,4x2,1991.0,AUTOMATICA,NAFTA,EURO VI b,180.0,10.6,6.3,7.9
MERCEDES-AMG,MERCEDES-AMG GT 63 S 4MATIC+,4 Puertas,4x4,3982.0,AUTOMATICA,NAFTA,EURO VI,247.1,15.1,9.1,11.3
RENAULT,KWID 1.0 12V,5 Puertas,4x2,999.0,MANUAL,NAFTA,EURO V,120.64,6.52,4.37,5.17
MERCEDES-AMG,C 63 - C 63 S,Coupe,4x2,3982.0,AUTOMATICA,NAFTA,EURO VI,216.9,14.1,8.0,10.3
LEXUS,RC350,Coupe,4x2,3456.0,AUTOMATICA,NAFTA,EURO V,213.33,13.1,6.86,9.15
MERCEDES-BENZ,A 250 AUTOMÁTICA,4 Puertas,4x2,1991.0,AUTOMATICA,NAFTA,EURO VI,151.0,9.1,5.2,6.6
MERCEDES-BENZ,B 250 AUTOMÁTICA,Rural,4x2,1991.0,AUTOMATICA,NAFTA,EURO VI,155.0,9.1,5.5,6.8
FORD,RANGER,PICK UP,4x2,2198.0,MANUAL,GAS OIL,EURO V,188.0,8.2,6.5,7.1
FORD,RANGER,PICK UP,4x4,2198.0,MANUAL,GAS OIL,EURO V,205.0,9.0,7.1,7.8
AUDI,RS4 - RS4 AVANT / RS5 - RS5 SPORTBACK,Rural,4x4,2894.0,AUTOMATICA,NAFTA,EURO VI b,202.0,11.7,7.3,8.9
AUDI,RS5  RS5 COUPÉ,Coupe,4x4,2894.0,AUTOMATICA,NAFTA,EURO VI b,199.0,11.6,7.2,8.8
VOLKSWAGEN,T-CROSS,SUV,4x2,1598.0,AUTOMATICA,NAFTA,EURO V,167.0,9.4,5.8,7.2
VOLKSWAGEN,T-CROSS,SUV,4x2,1598.0,MANUAL,NAFTA,EURO V,163.0,9.1,5.8,7.0
NISSAN,SENTRA,4 Puertas,4x2,1798.0,MANUAL,NAFTA,EURO V,168.0,9.9,5.6,7.2
AUDI,Q7,SUV,4x4,1984.0,AUTOMATICA,NAFTA,EURO VI b,188.0,9.3,7.2,8.0
BAIC,BJ20,Rural,4x2,1499.0,CVT,NAFTA,EURO V,179.0,9.4,6.7,7.7
BAIC,BJ20,Rural,4x2,1499.0,MANUAL,NAFTA,EURO V,170.0,9.1,6.2,7.3
LEXUS,IS300H,4 Puertas,4x2,2494.0,CVT,NAFTA / ELECTRICIDAD,EURO V,115.0,5.2,5.0,4.96
BMW,Z4 sDrive 30i,Coupe,4x2,1998.0,AUTOMATICA,NAFTA,EURO VI c,149.0,7.9,5.7,6.5
AUDI,A1,4 Puertas,4x2,1498.0,AUTOMATICA,NAFTA,EURO VI,123.58,9.03,6.12,7.08
AUDI,A1,4 Puertas,4x2,1498.0,MANUAL,NAFTA,EURO VI,129.4,7.97,5.81,6.61
PEUGEOT,2008,5 Puertas,4x2,1598.0,AUTOMATICA,NAFTA,EURO V,179.1,9.7,6.55,7.7
TOYOTA,SW4,SUV,4x4,2755.0,AUTOMATICA,GAS OIL,EURO V,230.0,10.9,7.5,8.7
AUDI,Q8,SUV,4x4,2967.0,AUTOMATICA,GAS OIL,EURO V,210.0,9.3,7.1,7.9
MITSUBISHI,L200 o TRITON,PICK UP,4x4,2442.0,MANUAL,GAS OIL,EURO V,208.0,10.0,7.7,8.5
MITSUBISHI,L200 o TRITON,PICK UP,4x4,2442.0,AUTOMATICA,GAS OIL,EURO V,225.0,10.0,7.7,8.5
NISSAN,MURANO,Rural,4x4,3498.0,CVT,NAFTA,EURO V,225.7,12.8,7.9,9.7
CHANGAN,MD201 o MD201-D,PICK UP,4x2,1243.0,MANUAL,NAFTA,EURO V,173.0,9.1,6.1,7.2
FAW,R7,5 Puertas,4x2,1598.0,MANUAL,NAFTA,EURO V,177.0,8.9,6.6,7.5
SUZUKI,VITARA,Rural,4x4,1373.0,AUTOMATICA,NAFTA,EURO V,145.0,7.91,5.2,6.2
CHANGAN,M201,Furgon,4x2,1243.0,MANUAL,NAFTA,EURO V,172.0,8.8,6.2,7.2
FAW,R7,5 Puertas,4x2,1598.0,AUTOMATICA,NAFTA,EURO V,185.02,10.94,6.37,7.85
CHANGAN,MD201 o MD201-X,PICK UP,4x2,1243.0,MANUAL,NAFTA,EURO V,190.0,9.2,6.5,7.5
CHANGAN,CS55,Rural,4x2,1499.0,AUTOMATICA,NAFTA,EURO V,172.0,92.0,6.0,7.2
ZOTYE,Z100,4 Puertas,4x2,997.0,MANUAL,NAFTA,EURO V,128.0,6.5,4.7,5.3
VOLKSWAGEN,VOYAGE,4 Puertas,4x2,1598.0,AUTOMATICA,NAFTA,EURO V,163.0,9.7,5.5,7.0
ZOTYE,T600C,4 Puertas,4x2,1502.0,MANUAL,NAFTA,EURO V,186.0,9.9,6.6,7.8
ZOTYE,Z360,4 Puertas,4x2,1499.0,MANUAL,NAFTA,EURO V,172.0,9.2,6.0,7.2
ZOTYE,T600C,4 Puertas,4x2,1502.0,AUTOMATICA,NAFTA,EURO V,202.0,11.5,6.4,8.3
VOLKSWAGEN,GOL,4 Puertas,4x2,1598.0,AUTOMATICA,NAFTA,EURO V,163.0,9.7,5.5,7.0
MASERATI,LEVANTE TROFEO,SUV,4x4,3798.0,AUTOMATICA,NAFTA,EURO VI b,310.8,19.02,10.63,13.69
MASERATI,LEVANTE GTS,SUV,4x4,3798.0,AUTOMATICA,NAFTA,EURO VI b,310.8,19.02,10.63,13.69
JAC,S7,5 Puertas,4x2,1997.0,AUTOMATICA,NAFTA,EURO V,228.0,13.4,7.7,9.8
JEEP,RENEGADE: TRAILHAWK 2.0 JTD LONGITUDE 2.0 JTD NIGHT EAGLE 2.0 JTD,4 Puertas,4x4,1956.0,AUTOMATICA,GAS OIL,EURO V,206.61,9.99,6.62,7.86
CHEVROLET,ONIX 1.4 - ONIX JOY 1.4 / PRISMA 1.4 - ONIX PLUS JOY 1.4,4 Puertas,4x2,1389.0,AUTOMATICA,NAFTA,EURO V,166.56,9.78,5.64,7.15
CHERY,TIGGO 4,5 Puertas,4x2,1971.0,MANUAL,NAFTA,EURO V,189.0,10.6,6.5,8.0
CHEVROLET,CRUZE,4 Puertas,4x2,1399.0,MANUAL,NAFTA,EURO V,148.7,8.25,5.33,6.41
KIA,SOUL,5 Puertas,4x2,1999.0,AUTOMATICA,NAFTA,EURO V,181.0,10.8,6.3,8.0
CITROËN,C4 LOUNGE,4 Puertas,4x2,1560.0,MANUAL,GAS OIL,EURO V,161.08,7.0,5.57,6.1
CHEVROLET,ONIX 1.4 - ONIX JOY 1.4,4 Puertas,4x2,1389.0,MANUAL,NAFTA,EURO V,166.12,9.7,5.65,7.14
CHEVROLET,PRISMA 1.4 - ONIX PLUS JOY 1.4,4 Puertas,4x2,1389.0,MANUAL,NAFTA,EURO V,164.32,9.53,5.48,6.99
HONDA,WR-V,5 Puertas,4x2,1496.0,CVT,NAFTA,EURO V,154.28,8.2,5.7,6.62
MERCEDES-BENZ,E 300,4 Puertas,4x2,1991.0,AUTOMATICA,NAFTA,EURO VI,152.6,9.7,5.8,7.3
NISSAN,KICKS,5 Puertas,4x2,1598.0,CVT,NAFTA,EURO V,154.0,8.1,5.6,6.7
KIA,CERATO CERATO FORTE,4 Puertas,4x2,1591.0,AUTOMATICA,NAFTA,EURO V,166.0,9.7,5.8,7.2
NISSAN,KICKS,5 Puertas,4x2,1598.0,MANUAL,NAFTA,EURO V,150.0,8.2,5.2,6.4
KIA,CERATO CERATO FORTE,4 Puertas,4x2,1591.0,MANUAL,NAFTA,EURO V,163.0,9.3,5.8,7.1
CHEVROLET,CRUZE,4 Puertas,4x2,1399.0,AUTOMATICA,NAFTA,EURO V,152.4,8.33,5.56,6.56
CHEVROLET,CRUZE,4 Puertas,4x2,1399.0,AUTOMATICA,NAFTA,EURO V,154.4,8.44,5.63,6.67
GREAT WALL,WINGLE 7 o STEED 7,PICK UP,4x2 - 4x4,1996.0,MANUAL,GAS OIL,EURO V,214.0,9.8,7.2,8.2
MERCEDES-BENZ,E 350,4 Puertas,4x2,1991.0,AUTOMATICA,NAFTA / ELECTRICIDAD,EURO VI,170.0,10.1,6.0,7.5
KYC,MAMUT,BUS,4x2,1493.0,MANUAL,NAFTA,EURO V,210.0,10.6,7.6,8.7
CHEVROLET,CRUZE 1.4 TRANSMISIÓN AUTOMÁTICA,4 Puertas,4x2,1399.0,AUTOMATICA,NAFTA,EURO V,156.1,8.26,5.84,6.73
CHEVROLET,CRUZE 1.4 TRANSMISIÓN AUTOMÁTICA,4 Puertas,4x2,1399.0,AUTOMATICA,NAFTA,EURO V,156.1,6.26,5.84,672.0
BMW,X2 M35i,Rural,4x4,1998.0,AUTOMATICA,NAFTA,EURO VI c,168.0,9.2,6.3,7.4
MERCEDES-BENZ,GLE 450 4MATIC,4 Puertas,4x4,2999.0,AUTOMATICA,NAFTA / ELECTRICIDAD,EURO VI,207.0,11.1,8.0,9.1
CITROËN,C4 SPACETOURER / GRAND C4 SPACETOURER,5 Puertas,4x2,1560.0,MANUAL,GAS OIL,EURO V,112.5,5.09,3.69,4.19
LAND ROVER,RANGE ROVER EVOQUE,SUV,4x4,1997.0,AUTOMATICA,NAFTA / ELECTRICIDAD,EURO VI d,191.99,12.71,7.91,9.31
PEUGEOT,2008,5 Puertas,4x2,1587.0,MANUAL,NAFTA,EURO V,190.56,10.78,6.63,8.15
PEUGEOT,308,5 Puertas,4x2,1560.0,MANUAL,GAS OIL,EURO V,154.56,6.65,5.41,5.87
SUZUKI,VITARA,Rural,4x4,1373.0,AUTOMATICA,NAFTA,EURO V,138.0,7.6,4.9,5.9
HONDA,FIT,5 Puertas,4x2,1496.0,CVT,NAFTA,EURO V,137.51,7.28,5.08,5.9
LAND ROVER,RANGE ROVER EVOQUE,SUV,4x4,1997.0,AUTOMATICA,NAFTA / ELECTRICIDAD,EURO V,187.6,10.44,6.72,8.08
FORD,MUSTANG,Coupe,4x2,5038.0,MANUAL,NAFTA,EURO VI b,295.0,19.3,9.3,13.0
HONDA,FIT,5 Puertas,4x2,1496.0,MANUAL,NAFTA,EURO V,143.0,7.9,5.1,6.1
FORD,RANGER,PICK UP,4x2,2488.0,MANUAL,NAFTA,EURO  V,264.0,15.0,9.3,11.4
MERCEDES-BENZ,VITO 121 VITO TOURER 121,Rural,4x2,1991.0,AUTOMATICA,NAFTA,EURO  V,211.0,11.3,7.6,9.0
MERCEDES-BENZ,VITO 111 CDI,Furgon,4x2,1598.0,MANUAL,GAS OIL,EURO  V,172.5,8.0,5.7,6.5
RENAULT,SANDERO Ph2 1.6 SANDERO Ph2 GT Line 1.6 MANUAL,5 Puertas,4x2,1598.0,MANUAL,NAFTA,EURO  V,162.72,9.0,5.74,6.95
RENAULT,SANDERO Ph2 STEPWAY 1.6,5 Puertas,4x2,1598.0,MANUAL,NAFTA,EURO  V,168.46,9.25,6.0,7.2
RENAULT,LOGAN Ph2 1.6,4 Puertas,4x2,1598.0,MANUAL,NAFTA,EURO  V,162.72,9.0,5.74,6.95
DS,DS 3 CROSSBACK,5 Puertas,4x2,1199.0,AUTOMATICA,NAFTA,EURO  V,138.9,7.7,5.2,6.1
MITSUBISHI,OUTLANDER,Rural,4x2 - 4x4,2360.0,CTT,NAFTA,EURO  V,176.1,9.2,6.0,7.2
CHANGAN,CS35 PLUS,5 Puertas,4x2,1598.0,MANUAL,NAFTA,EURO  V,172.0,9.2,6.0,7.2
HONDA,PILOT,Rural,4x2,3471.0,AUTOMATICA,NAFTA,EURO  V,238.0,7.0,12.8,9.8
FIAT,ARGO TREKKING 1.3,4 Puertas,4x2,1332.0,MANUAL,NAFTA,EURO  V,151.75,8.39,5.49,6.56
HONDA,PILOT TOURING,Rural,4x4,3471.0,AUTOMATICA,NAFTA,EURO V,238.0,7.0,12.8,9.8
FERRARI,812 SUPERFAST,Coupe,4x2,6496.0,MANUAL AUTOMATIZADA,NAFTA,EURO VI c,340.0,21.4,11.1,14.9
CITROËN,C4 SPACETOURER,5 Puertas,4x2,1598.0,MANUAL,NAFTA,EURO  V,153.3,8.9,5.0,6.4
CHANGAN,CS35 PLUS,5 Puertas,4x2,1598.0,AUTOMATICA,NAFTA,EURO  V,183.0,10.0,6.2,7.6
RENAULT,SANDERO Ph2 1.6 CVT SANDERO Ph2 GT LINE 1.6 CVT,5 Puertas,4x2,1598.0,CVT,NAFTA,EURO  V,158.35,8.75,5.63,6.78
RENAULT,SANDERO Ph2 STEPWAY 1.6 CVT,5 Puertas,4x2,1598.0,CVT,NAFTA,EURO  V,161.7,8.8,5.83,6.93
PORSCHE,911 CARRERA S (CB12),Coupe,4x2,2981.0,AUTOMATICA,NAFTA,EURO  V,208.0,13.4,7.2,9.5
PORSCHE,911 CARRERA S (CB22) / 911 CARRERA 4S (KB12 KB22),Coupe,4x2 - 4x4,2981.0,AUTOMATICA,NAFTA,EURO  V,213.4,13.6,7.3,9.6
TOYOTA,C-HR,5 Puertas,4x2,1798.0,CVT,NAFTA / ELECTRICIDAD,EURO  VI b,99.55,2.39,5.53,4.38
FORD,KUGA 2.5L FHEV,SUV,4x2,2488.0,E-CVT (Hibrida controlada electrónicamente),NAFTA / ELECTRICIDAD,EURO V,120.0,4.1,5.8,5.1
VOLKSWAGEN,BEETLE,Coupe,4x2,1984.0,AUTOMATICA,NAFTA,EURO V,186.9,10.5,6.5,8.0
VOLKSWAGEN,BEETLE,Coupe,4x2,1390.0,MANUAL,NAFTA,EURO V,163.1,9.0,5.8,7.0
CHEVROLET,SPIN ACTIV 1.8,4 Puertas,4x2,1796.0,MANUAL,NAFTA,EURO V,192.83,10.68,6.64,8.13
